id,oi_id,address_line_1,city,state,zipcode
1,1,897 Long Airport Avenue,New York City,New York,10022
2,2,147 Heather Edge,Tunkhannock,Pennsylvania,18657
3,3,711 Hazy Robin,Patterson,Louisiana,70392
4,4,78934 Hillside Dr.,Los Angeles,California,90003
5,5,7734 Strong St.,New York City,New York,10022
6,6,9408 Furth Circle,Half Moon Bay,California,94019
7,7,P.O. Box 38297,Falcon,Missouri,65470
8,8,58 W Cloud,Jackson,Mississippi,39232
9,9,5557 North Pendale Street,Rock Valley,Iowa,51247
10,10,P.O. Box 45562,Wyoming,Minnesota,55092
11,11,P.O. Box 46410,Plymouth,Utah,84330
12,12,2678 Kingston Rd.,New York City,New York,10022
13,13,7476 Moss Rd.,Fonda,Iowa,50553
14,14,25593 South Bay Ln.,New York City,New York,10022
15,15,988 Rocky Dale,Amboy,Minnesota,56010
16,16,39323 Spinnaker Dr.,Ruston,Louisiana,71270
17,17,182 Amber Rise,Aspen,Colorado,81612
18,18,P.O. Box 52009,Houtzdale,Pennsylvania,16651
19,19,7586 Pompton St.,Half Moon Bay,California,94019
20,20,897 Long Airport Avenue,Rock Valley,Iowa,51247
21,21,116 Washington Boulevard,Jacksonville Beach,Florida,32250
22,22,P.O. Box 47042,Mangum,Oklahoma,73554
23,23,409 Elk Chase,Sandy Creek,New York,13145
24,24,1785 First Street,Condon,Oregon,97823
25,25,P.O. Box 85918,Huntington,West Virginia,25779
26,26,618 NE Ford,Riverside,California,92516
27,27,282 Iron Gate,Kerens,West Virginia,26276
28,28,316 Indian Lake Trace,Bonham,Texas,75418
29,29,86 Grand Leaf Stravenue,Waxhaw,North Carolina,28173
30,30,9408 Furth Circle,Hansboro,North Dakota,58339
31,31,523 Park Meadow,Lake Arthur,Louisiana,70549
32,32,5905 Pompton St.,New York City,New York,10022
33,33,501 Quiet Nectar Isle,Clinton,Mississippi,39060
34,34,782 First Street,Los Angeles,California,90003
35,35,628 High Berry Meadow,Austin,Texas,78744
36,36,P.O. Box 98290,Taylor,Pennsylvania,18517
37,37,3675 Furth Circle,Ruston,Louisiana,71270
38,38,4658 Baden Av.,Half Moon Bay,California,94019
39,39,567 North Pendale Street,Rock Valley,Iowa,51247
40,40,662 S View Bay,Elgin,South Carolina,29045
41,41,P.O. Box 80447,Sacramento,California,95833
42,42,P.O. Box 48436,Snoqualmie,Washington,98065
43,43,699 S Flat,Pearl City,Hawaii,96782
44,44,945 Silver Nectar Annex,Darien,Wisconsin,53114
45,45,5677 Strong St.,Callaway,Virginia,24067
46,46,2304 Long Airport Avenue,New York City,New York,10022
47,47,5557 North Pendale Street,Fonda,Iowa,50553
48,48,506 Dale Highway,Crab Orchard,Tennessee,37723
49,49,5677 Strong St.,New York City,New York,10022
50,50,7825 Douglas Av.,Los Angeles,California,90003
51,51,7734 Strong St.,New York City,New York,10022
52,52,582 W Seventh Bayoo,Deerwood,Minnesota,56444
53,53,P.O. Box 79717,Rowlesburg,West Virginia,26425
54,54,142 High Embers,Littlestown,Pennsylvania,17340
55,55,897 Long Airport Avenue,Half Moon Bay,California,94019
56,56,228 Red Route,Salt Lake City,Utah,84189
57,57,190 Stony Bypass,Forkland,Alabama,36740
58,58,78934 Hillside Dr.,Rock Valley,Iowa,51247
59,59,7734 Strong St.,Callaway,Virginia,24067
60,60,9408 Furth Circle,New York City,New York,10022
61,61,549 Thunder Island Route,Abilene,Texas,79604
62,62,423 Forge Mews,Linesville,Pennsylvania,16424
63,63,5557 North Pendale Street,Fonda,Iowa,50553
64,64,905 Elk Avenue,Labarre,Louisiana,70751
