"total_sales","address_line_1","city","state","zipcode"
2871,"897 Long Airport Avenue","New York City","New York",10022
2765.9,"147 Heather Edge","Tunkhannock","Pennsylvania",18657
3884.34,"711 Hazy Robin","Patterson","Louisiana",70392
3746.7,"78934 Hillside Dr.","Los Angeles","California",90003
5205.27,"7734 Strong St.","New York City","New York",10022
3479.76,"9408 Furth Circle","Half Moon Bay","California",94019
2497.77,"P.O. Box 38297","Falcon","Missouri",65470
5512.32,"58 W Cloud","Jackson","Mississippi",39232
2168.54,"5557 North Pendale Street","Rock Valley","Iowa",51247
4708.44,"P.O. Box 45562","Wyoming","Minnesota",55092
3965.66,"P.O. Box 46410","Plymouth","Utah",84330
2333.12,"2678 Kingston Rd.","New York City","New York",10022
3188.64,"7476 Moss Rd.","Fonda","Iowa",50553
3676.76,"25593 South Bay Ln.","New York City","New York",10022
4177.35,"988 Rocky Dale","Amboy","Minnesota",56010
4099.68,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
2597.39,"182 Amber Rise","Aspen","Colorado",81612
4394.38,"P.O. Box 52009","Houtzdale","Pennsylvania",16651
4358.04,"7586 Pompton St.","Half Moon Bay","California",94019
4396.14,"897 Long Airport Avenue","Rock Valley","Iowa",51247
7737.93,"116 Washington Boulevard","Jacksonville Beach","Florida",32250
1451,"P.O. Box 47042","Mangum","Oklahoma",73554
733.11,"409 Elk Chase","Sandy Creek","New York",13145
3207.12,"1785 First Street","Condon","Oregon",97823
2434.56,"P.O. Box 85918","Huntington","West Virginia",25779
7516.08,"618 NE Ford","Riverside","California",92516
5404.62,"282 Iron Gate","Kerens","West Virginia",26276
7209.11,"316 Indian Lake Trace","Bonham","Texas",75418
7329.06,"86 Grand Leaf Stravenue","Waxhaw","North Carolina",28173
7374.1,"9408 Furth Circle","Hansboro","North Dakota",58339
10993.5,"523 Park Meadow","Lake Arthur","Louisiana",70549
4860.24,"5905 Pompton St.","New York City","New York",10022
8014.82,"501 Quiet Nectar Isle","Clinton","Mississippi",39060
5372.57,"782 First Street","Los Angeles","California",90003
7290.36,"628 High Berry Meadow","Austin","Texas",78744
9064.89,"P.O. Box 98290","Taylor","Pennsylvania",18517
6075.3,"3675 Furth Circle","Ruston","Louisiana",71270
6463.23,"4658 Baden Av.","Half Moon Bay","California",94019
6120.34,"567 North Pendale Street","Rock Valley","Iowa",51247
7680.64,"662 S View Bay","Elgin","South Carolina",29045
4905.39,"P.O. Box 80447","Sacramento","California",95833
8014.82,"P.O. Box 48436","Snoqualmie","Washington",98065
7136.19,"699 S Flat","Pearl City","Hawaii",96782
10172.7,"945 Silver Nectar Annex","Darien","Wisconsin",53114
11623.7,"5677 Strong St.","Callaway","Virginia",24067
6000.4,"2304 Long Airport Avenue","New York City","New York",10022
3003,"5557 North Pendale Street","Fonda","Iowa",50553
3944.7,"506 Dale Highway","Crab Orchard","Tennessee",37723
5691.84,"5677 Strong St.","New York City","New York",10022
4514.92,"7825 Douglas Av.","Los Angeles","California",90003
8254.8,"7734 Strong St.","New York City","New York",10022
2416.56,"582 W Seventh Bayoo","Deerwood","Minnesota",56444
4140.23,"P.O. Box 79717","Rowlesburg","West Virginia",26425
12001,"142 High Embers","Littlestown","Pennsylvania",17340
3896.49,"897 Long Airport Avenue","Half Moon Bay","California",94019
2793.86,"228 Red Route","Salt Lake City","Utah",84189
3307.77,"190 Stony Bypass","Forkland","Alabama",36740
5192.95,"78934 Hillside Dr.","Rock Valley","Iowa",51247
5016.83,"7734 Strong St.","Callaway","Virginia",24067
3660.93,"9408 Furth Circle","New York City","New York",10022
4695.6,"549 Thunder Island Route","Abilene","Texas",79604
3660.92,"423 Forge Mews","Linesville","Pennsylvania",16424
3025.92,"5557 North Pendale Street","Fonda","Iowa",50553
3009.09,"905 Elk Avenue","Labarre","Louisiana",70751
5422.39,"P.O. Box 98846","Cove","Arkansas",71937
2852.08,"11328 Douglas Av.","Fonda","Iowa",50553
5756.52,"7476 Moss Rd.","New York City","New York",10022
4472,"25593 South Bay Ln.","Alton","Iowa",51003
2904.44,"P.O. Box 63341","New Bedford","Pennsylvania",16140
6484.59,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
3757.26,"644 Brook Ramp","Grand Prairie","Texas",75052
4043.96,"3758 North Pendale Street","New York City","New York",10022
5566.5,"7586 Pompton St.","Alton","Iowa",51003
3176,"897 Long Airport Avenue","Ruston","Louisiana",71270
2756.8,"571 Circle Lawn","Lexa","Arkansas",72355
1329.9,"725 Noble Ridge","Jacksonville Beach","Florida",32250
5288.01,"249 Clear Anchor","Lebanon","Nebraska",69036
2225.5,"1785 First Street","Alton","Iowa",51003
5833.8,"41 Gentle Washington","Los Angeles","California",90048
5887.35,"P.O. Box 39954","Nashville","Tennessee",37235
6065.55,"897 Long Airport Avenue","Condon","Oregon",97823
9264.86,"450 Harvest Pony Junction","Flynn","Texas",77855
7023.98,"492 Pine Estate","Martin","South Carolina",29836
5176.38,"78934 Hillside Dr.","Rock Valley","Iowa",51247
